20250101 104900;23689.95;23712.7;23685.75;23710.85;2000
20250101 105000;23711.9;23740.3;23711.9;23739.1;2000
20250101 105100;23738.8;23747.25;23732.65;23736.9;2000
20250101 105200;23736.7;23741;23732.55;23733.5;2000
20250101 105300;23734.65;23743.35;23729.2;23739.35;2000
20250101 105400;23740.25;23742.15;23736.2;23737.5;2000
20250101 105500;23737.1;23744.7;23733.75;23736.15;2000
20250101 105600;23734.6;23746.2;23733.8;23744.05;2000
20250101 105700;23744;23749.9;23744;23744.4;2000
20250101 105800;23745;23747.4;23741.65;23746.6;2000
20250101 105900;23746.95;23749.35;23738.65;23739.4;2000
20250101 110000;23738.9;23751.05;23738.9;23745.2;2000
20250101 110100;23744.9;23750.45;23744.85;23750.25;2000
20250101 110200;23749.45;23751.95;23738.95;23741.6;2000
20250101 110300;23741.9;23747.85;23740.35;23744.45;2000
20250101 110400;23743.85;23745.4;23739.05;23741.55;2000
20250101 110500;23740.7;23746.15;23732.65;23745.05;2000
20250101 110600;23746.8;23755.75;23745.3;23751.65;2000
20250101 110700;23751.35;23757.55;23748.8;23755.15;2000
20250101 110800;23755.25;23761.5;23752.5;23759.45;2000
20250101 110900;23758.45;23758.45;23748.3;23755.35;2000
20250101 111000;23754.45;23758.3;23746;23747.7;2000
20250101 111100;23745.6;23752.55;23742.1;23743.2;2000
20250101 111200;23742.95;23752.9;23742.4;23751.3;2000
20250101 111300;23752.05;23754.65;23743.8;23754.65;2000
20250101 111400;23754.2;23757.5;23751.75;23754.05;2000
20250101 111500;23753.65;23758.1;23749.05;23753.9;2000
20250101 111600;23754.15;23756.45;23743.4;23752.45;2000
20250101 111700;23752.85;23778.85;23752.85;23778.25;2000
20250101 111800;23777.55;23778;23767.65;23771.65;2000
20250101 111900;23772.3;23772.3;23765.65;23769.8;2000
20250101 112000;23770.35;23771.15;23764.35;23769.45;2000
20250101 112100;23768.75;23769.5;23757.15;23763.25;2000
20250101 112200;23763.55;23765.25;23758.5;23765;2000
20250101 112300;23764.55;23764.55;23755.3;23761.15;2000
20250101 112400;23761.15;23761.85;23753.65;23756.15;2000
20250101 112500;23756.35;23757.2;23747.25;23753.5;2000
20250101 112600;23752.25;23760.3;23751.25;23756.6;2000
20250101 112700;23754.5;23768;23753.45;23762.1;2000
20250101 112800;23762.35;23762.7;23723.1;23737.8;2000
20250101 112900;23738.2;23743.25;23731.1;23742.9;2000
20250101 113000;23742.25;23748.7;23735.55;23736.8;2000
20250101 113100;23737.1;23741.75;23735.55;23741.05;2000
20250101 113200;23740.8;23745.45;23739.5;23745.45;2000
20250101 113300;23744.95;23745.1;23734.9;23735.95;2000
20250101 113400;23734.65;23734.8;23710.55;23710.55;2000
20250101 113500;23710.3;23715.35;23702.65;23707.2;2000
20250101 113600;23707.95;23715.45;23706.5;23712.1;2000
